1754104154532293888,-3.00526,0.55195,1.18155,0.74621,-0.66011,-0.05710,0.06453,
1754104154632366336,-3.05935,0.62311,1.18907,0.74976,-0.65396,-0.07417,0.06855,
1754104154732439040,-3.11832,0.69180,1.19032,0.74889,-0.65190,-0.09510,0.07174,
1754104154765796608,-3.13852,0.71602,1.18900,0.74902,-0.65056,-0.10156,0.07362,
1754104154832511744,-3.17916,0.76158,1.18575,0.74840,-0.64830,-0.11171,0.08442,
1754104154865869312,-3.20154,0.78779,1.18350,0.74855,-0.64644,-0.11721,0.08972,
1754104154932584960,-3.24487,0.83151,1.17898,0.75321,-0.63721,-0.12848,0.10064,
1754104154965943296,-3.26667,0.85268,1.17775,0.75905,-0.62825,-0.13392,0.10584,
1754104155032660480,-3.31070,0.88983,1.17707,0.77556,-0.60409,-0.14237,0.11538,
1754104155066019072,-3.33157,0.90660,1.17724,0.77942,-0.59748,-0.14220,0.12366,
1754104155132736000,-3.37482,0.93933,1.17648,0.77510,-0.59681,-0.14760,0.14581,
1754104155166094592,-3.39629,0.95498,1.17645,0.77244,-0.59609,-0.15332,0.15653,
1754104155232811520,-3.43677,0.98272,1.18018,0.77328,-0.58790,-0.16554,0.17033,
1754104155266170368,-3.45835,0.99749,1.18147,0.77536,-0.58124,-0.17166,0.17753,
1754104155332887296,-3.50105,1.02273,1.18238,0.77498,-0.57170,-0.17848,0.20177,
1754104155366245632,-3.52291,1.03533,1.18125,0.77243,-0.56896,-0.18123,0.21631,
1754104155432962816,-3.56892,1.06198,1.17815,0.76128,-0.56811,-0.19257,0.24621,
1754104155466321408,-3.59171,1.07544,1.17555,0.75400,-0.56842,-0.20130,0.26048,
1754104155533038592,-3.63817,1.10533,1.17212,0.74224,-0.56533,-0.21869,0.28576,
1754104155566397184,-3.66111,1.12045,1.17166,0.73605,-0.56337,-0.22664,0.29913,
1754104155633114624,-3.70804,1.14986,1.17360,0.72106,-0.55978,-0.24695,0.32515,
1754104155666472960,-3.73153,1.16416,1.17484,0.71206,-0.55943,-0.25926,0.33586,
1754104155733190400,-3.77822,1.19056,1.18002,0.69763,-0.55408,-0.28697,0.35206,
1754104155766548992,-3.80400,1.20460,1.18258,0.69219,-0.54932,-0.29987,0.35944,
1754104155833265920,-3.85517,1.22485,1.19151,0.68496,-0.53574,-0.31960,0.37638,
1754104155866624768,-3.88191,1.23354,1.19638,0.68266,-0.52848,-0.32726,0.38416,
1754104155933340928,-3.93380,1.24431,1.20694,0.67206,-0.52026,-0.34089,0.40183,
1754104155966697984,-3.95804,1.24681,1.21155,0.66318,-0.51831,-0.34783,0.41298,
1754104156033412352,-4.00916,1.24796,1.21909,0.65259,-0.50884,-0.36043,0.43047,
1754104156066769408,-4.03430,1.24705,1.22050,0.64871,-0.50342,-0.36616,0.43780,
1754104156133483520,-4.08425,1.24240,1.22122,0.63877,-0.49471,-0.37744,0.45251,
1754104156166840576,-4.10753,1.23805,1.21963,0.63321,-0.49005,-0.38382,0.45998,
1754104156266911488,-4.18135,1.22028,1.21021,0.61581,-0.47395,-0.40165,0.48458,
1754104156333625600,-4.23011,1.20321,1.20156,0.61584,-0.44999,-0.40999,0.50015,
1754104156366982656,-4.25412,1.19371,1.19739,0.62067,-0.43511,-0.41089,0.50658,
1754104156433696512,-4.29808,1.17377,1.18826,0.62191,-0.41594,-0.41182,0.52022,
1754104156467053312,-4.31819,1.16229,1.18256,0.61346,-0.41175,-0.41968,0.52725,
1754104156533767424,-4.36214,1.13633,1.17262,0.58320,-0.40932,-0.44163,0.54525,
1754104156567124480,-4.38343,1.12163,1.16949,0.57648,-0.40164,-0.45108,0.55034,
1754104156633838336,-4.42736,1.08787,1.16559,0.55476,-0.38736,-0.47378,0.56368,
1754104156667195392,-4.44808,1.06798,1.16287,0.54119,-0.37972,-0.48496,0.57249,
1754104156733909248,-4.49093,1.02462,1.15871,0.51677,-0.36022,-0.50427,0.59068,
1754104156767266048,-4.50826,1.00169,1.15573,0.50136,-0.35123,-0.51373,0.60114,
1754104156833979904,-4.54639,0.95368,1.15068,0.46695,-0.33271,-0.53235,0.62280,
1754104156867336704,-4.56252,0.93007,1.14695,0.44890,-0.32294,-0.54083,0.63380,
1754104156934051584,-4.59839,0.88238,1.14181,0.41333,-0.30211,-0.55572,0.65503,
1754104156967410432,-4.61875,0.85682,1.13903,0.39729,-0.29063,-0.56212,0.66462,
1754104157034127872,-4.65830,0.80723,1.13574,0.36411,-0.27025,-0.57224,0.68333,
1754104157067486720,-4.67607,0.78307,1.13554,0.34681,-0.26006,-0.57631,0.69279,
1754104157134204416,-4.71441,0.73635,1.13800,0.31677,-0.23943,-0.58715,0.70540,
1754104157167563264,-4.73007,0.71574,1.14092,0.30531,-0.22774,-0.59362,0.70890,
1754104157234280960,-4.76429,0.67377,1.14862,0.28627,-0.19967,-0.60295,0.71738,
1754104157267639808,-4.77973,0.65246,1.15206,0.27359,-0.18817,-0.60665,0.72230,
1754104157334357760,-4.80789,0.60687,1.15628,0.25366,-0.16697,-0.61284,0.72952,
